"","Date","mine_water_level"
"4302",2020-07-22,115.5
"4303",2020-07-23,115.47
"4304",2020-07-24,115.42
"4305",2020-07-25,115.42
"4306",2020-07-26,115.4
"4307",2020-07-27,115.45
"4308",2020-07-28,115.4
"4309",2020-07-29,115.46
"4310",2020-07-30,115.47
"4311",2020-07-31,115.44
"4312",2020-08-01,115.41
"4313",2020-08-02,115.43
"4314",2020-08-03,115.42
"4315",2020-08-04,115.43
"4316",2020-08-05,115.43
"4317",2020-08-06,115.44
"4318",2020-08-07,115.45
"4319",2020-08-08,115.45
"4320",2020-08-09,115.44
"4321",2020-08-10,115.42
"4322",2020-08-11,115.42
"4323",2020-08-12,115.42
"4324",2020-08-13,115.41
"4325",2020-08-14,115.41
"4326",2020-08-15,115.42
"4327",2020-08-16,115.4
"4328",2020-08-17,115.38
"4329",2020-08-18,115.39
"4330",2020-08-19,115.39
"4331",2020-08-20,115.36
"4332",2020-08-21,115.36
"4333",2020-08-22,115.41
"4334",2020-08-23,115.42
"4335",2020-08-24,115.41
"4336",2020-08-25,115.39
"4337",2020-08-26,115.34
"4338",2020-08-27,115.42
"4339",2020-08-28,115.33
"4340",2020-08-29,115.33
"4341",2020-08-30,115.37
"4342",2020-08-31,115.4
"4343",2020-09-01,115.42
"4344",2020-09-02,115.41
"4345",2020-09-03,115.41
"4346",2020-09-04,115.41
"4347",2020-09-05,115.4
"4348",2020-09-06,115.41
"4349",2020-09-07,115.42
"4350",2020-09-08,115.43
"4351",2020-09-09,115.41
"4352",2020-09-10,115.42
"4353",2020-09-11,115.38
"4354",2020-09-12,115.41
"4355",2020-09-13,115.45
"4356",2020-09-14,115.44
"4357",2020-09-15,115.42
"4358",2020-09-16,115.41
"4359",2020-09-17,115.45
"4360",2020-09-18,115.43
"4361",2020-09-19,115.41
"4362",2020-09-20,115.4
"4363",2020-09-21,115.4
"4364",2020-09-22,115.38
"4365",2020-09-23,115.36
"4366",2020-09-24,115.35
"4367",2020-09-25,115.32
"4368",2020-09-26,115.31
"4369",2020-09-27,115.33
"4370",2020-09-28,115.38
